Class,Description,Embedding
A61F2013/530116,filters implantable blood vessels prostheses devices providing patency preventing collapsing tubular structures body eg stents orthopaedic nursing contraceptive fomentation treatment protection eyes ears bandages dressings absorbent pads firstaid kits dental prosthetics suspensory contactavoiding wound protectors incorporated medicaments radioactive chemical aspects use materials tracheostomy sanitary towels swabs tampons external internal application nonabsorbent catamenial receptacles supporting fastening means therefor tampon applicators characterised absorbing medium takes precedence made pulp specific method producing wood fibres recycled material paper,"tensor([[-2.1038e-01,  1.9802e-02,  3.0703e-02, -3.7293e-02, -2.7678e-02,
         -6.0009e-02,  1.2980e-01,  1.2600e-01, -1.9262e-01,  6.7808e-02,
          1.2097e-01, -1.0917e-02, -1.4913e-01,  9.9427e-02, -1.2959e-01,
         -1.2214e-01, -3.8172e-03,  1.7484e-01, -2.6739e-03,  6.4911e-02,
          1.3886e-01,  5.9591e-02, -1.5776e-02, -2.3093e-02, -1.1273e-01,
          5.4783e-02, -6.8543e-02, -1.3572e-01,  2.4826e-01, -6.0492e-02,
          4.9677e-02, -1.7414e-01, -4.9644e-02, -7.6219e-02,  3.3226e-02,
          1.2890e-01,  2.6570e-02,  1.4191e-02, -1.6529e-01, -2.0392e-02,
         -3.2237e-02, -1.5766e-01, -1.6298e-01, -9.0564e-02,  1.4953e-01,
         -3.4958e-02,  6.1292e-02, -9.0661e-02, -1.8087e-01, -5.3975e-02,
         -6.7087e-02, -7.5598e-02, -6.1825e-02,  8.9253e-02, -7.7906e-02,
         -1.2277e-01, -8.5623e-02,  1.0151e-02, -3.6537e-02,  5.6189e-03,
          5.1410e-02, -1.9547e-02, -5.2733e-02,  1.0967e-01, -1.2013e-01,
          1.2243e-01,  2.4637e-02,  1.6476e-01,  4.0863e-02, -1.7934e-02,
         -1.0502e-01,  1.9440e-02, -4.0267e-03,  1.4316e-01,  3.9864e-02,
          2.3174e-03,  5.0537e-02, -4.6590e-02, -1.5267e-02,  1.3459e-01,
         -4.5052e-02, -6.0412e-02, -1.9855e-02,  1.3038e-01, -1.0097e-01,
          1.9933e-01, -1.4941e-01, -8.4595e-02, -1.4814e-01, -6.3619e-02,
          5.6180e-02,  1.5136e-02,  1.4296e-01, -5.6844e-02, -1.3160e-01,
         -4.7454e-02, -1.1073e-01,  7.5008e-02,  1.6779e-01, -1.6053e-02,
         -8.3186e-02,  6.8494e-02,  1.0037e-01,  7.4796e-02, -7.9612e-02,
         -1.8641e-01, -5.3765e-02, -1.4186e-01,  9.6150e-02,  6.1363e-02,
         -1.2766e-01,  1.8931e-02, -1.8743e-01, -8.9758e-02, -5.4576e-02,
         -1.9236e-02,  7.2483e-03,  1.6545e-02,  1.2210e-01, -1.1253e-02,
          1.5257e-02,  7.5288e-03,  1.0850e-01, -1.9965e-01, -3.6388e-03,
          4.6869e-02,  1.4031e-01,  3.1212e-32, -1.8948e-02,  7.0657e-02,
         -4.4000e-02, -4.8674e-03, -2.2957e-02,  9.6692e-03,  1.6515e-02,
         -2.0264e-02,  1.3728e-01,  4.9018e-02, -8.7038e-02,  8.0708e-02,
         -1.6782e-01,  1.0051e-01,  1.9628e-01, -1.0962e-01, -8.6467e-02,
          1.2347e-01,  7.3971e-02, -3.4262e-02, -1.2781e-01, -6.3886e-02,
          9.4954e-02,  4.1321e-02,  1.2212e-01,  2.6907e-02, -6.0763e-02,
         -3.7867e-02, -1.0494e-01,  1.1640e-02, -4.5352e-02,  7.3007e-02,
          1.3520e-01, -3.8323e-02, -1.7845e-01,  3.0410e-02, -5.9153e-02,
         -1.8082e-01, -3.5573e-03, -2.4634e-02, -8.3106e-03,  1.0776e-01,
          1.4840e-01,  5.1943e-02,  9.6036e-02, -4.6343e-02, -9.0051e-02,
          2.5927e-01,  2.4893e-02,  4.0576e-02,  5.2325e-03,  1.3561e-01,
         -1.3860e-02, -1.9529e-01, -7.3230e-03, -1.1018e-02, -2.4666e-02,
          5.6493e-02, -2.0098e-02,  8.8446e-02, -7.7699e-02,  4.1289e-02,
          3.8011e-02, -5.7887e-03,  6.9182e-02,  1.0476e-01,  9.0559e-02,
         -6.9672e-02,  6.2650e-02, -1.6721e-01, -3.1055e-01,  1.2346e-01,
         -1.4063e-01, -7.8532e-02, -8.0665e-02,  8.1878e-02,  4.9910e-02,
         -3.1574e-02, -1.5546e-02, -1.8615e-01, -1.4852e-01,  9.4313e-02,
          1.5983e-02,  7.5443e-04,  2.2091e-02, -5.4394e-02,  2.5779e-02,
          1.6901e-02,  1.0288e-01, -1.9061e-01,  4.7767e-02,  5.8019e-02,
         -3.1678e-02, -5.8033e-02, -9.7608e-03, -3.1266e-32,  3.1486e-02,
         -1.0074e-01, -5.8719e-02,  1.2447e-01,  1.5747e-01, -3.0352e-02,
         -1.2485e-01, -4.3915e-02,  5.2435e-02, -4.8534e-03, -1.0732e-01,
          3.7581e-02,  1.7918e-01, -3.5477e-03, -8.2536e-02,  7.4901e-02,
         -1.0612e-02, -4.3997e-02, -8.5381e-02, -6.3589e-02,  2.6192e-02,
          3.0553e-01,  1.8968e-01, -1.2232e-02, -6.8311e-02,  1.1468e-02,
         -1.1927e-01, -1.7958e-01,  1.3813e-01, -6.9507e-02, -3.2949e-02,
         -9.9705e-02,  1.8998e-02,  9.1743e-02, -7.0163e-02, -7.2170e-02,
          6.6305e-02,  5.0407e-02,  1.1416e-01, -1.3585e-01,  1.8228e-01,
         -2.6120e-02, -1.9737e-02,  5.0128e-02, -2.4782e-01, -1.2599e-01,
         -6.5403e-02, -7.3759e-02, -3.3385e-02, -3.6121e-03, -4.0596e-03,
          3.8572e-02, -4.8387e-02, -1.1701e-02,  2.5910e-03,  3.6506e-02,
          1.3115e-01, -2.1121e-01, -4.1107e-02,  3.4441e-03,  8.1487e-02,
          5.9224e-02, -4.1836e-02,  3.7381e-02,  1.2298e-01, -1.7966e-02,
          2.0649e-02, -4.8779e-02, -2.0113e-01, -4.5423e-02,  1.3469e-01,
          4.9533e-02,  2.0372e-02, -8.1875e-02, -2.9441e-02, -9.2340e-02,
         -9.3233e-02, -1.5946e-01, -1.5376e-01,  9.0717e-02, -2.9086e-02,
          1.3403e-02, -3.2322e-02,  2.3019e-02,  9.4915e-02, -1.3875e-01,
         -8.8500e-03, -1.1956e-01, -6.1436e-02,  5.7190e-04, -1.2191e-01,
          1.0597e-01,  8.8060e-03,  2.6089e-01,  3.7556e-02, -1.0214e-07,
         -6.1669e-02, -8.9733e-02, -4.9866e-02,  6.7030e-03, -1.6663e-01,
         -8.9407e-02, -9.1663e-02,  8.6233e-02, -9.7090e-02, -1.3820e-01,
          1.9931e-03,  1.8785e-01,  4.0292e-02,  6.9873e-03,  1.3925e-01,
         -2.8403e-02, -4.4504e-02,  1.7221e-01, -2.0470e-01, -2.7832e-01,
         -4.3407e-03, -1.0068e-01, -9.8598e-03,  6.1133e-02,  9.0490e-02,
         -1.8562e-02,  5.8768e-02,  4.7293e-02,  1.1776e-01,  1.9116e-01,
          4.6800e-02,  2.1218e-02,  2.1719e-01,  6.7827e-02, -2.4526e-02,
          8.4341e-02,  1.3823e-01, -1.7620e-02, -1.2465e-01,  9.9027e-02,
         -5.9028e-02, -1.9867e-01, -7.3112e-02,  1.2079e-01, -4.8958e-02,
         -3.2544e-02,  3.4238e-02,  1.1249e-01, -7.4274e-02,  1.5539e-01,
          1.3064e-02, -1.3186e-01,  7.2382e-02, -5.1496e-02, -6.8266e-02,
          8.2522e-02,  1.3628e-01,  3.2148e-02,  8.7273e-02,  1.0367e-01,
          1.0284e-02,  2.2556e-02,  3.7890e-01, -9.4231e-03]])"
A61F2013/51433,filters implantable blood vessels prostheses devices providing patency preventing collapsing tubular structures body eg stents orthopaedic nursing contraceptive fomentation treatment protection eyes ears bandages dressings absorbent pads firstaid kits dental prosthetics suspensory contactavoiding wound protectors incorporated medicaments radioactive chemical aspects use materials tracheostomy sanitary towels swabs tampons external internal application nonabsorbent catamenial receptacles supporting fastening means therefor tampon applicators characterised outer layers wicking transfer backsheet ie impermeable cover layer furthest skin take precedence material film biodegradable,"tensor([[-2.1268e-01,  5.0204e-02,  6.3540e-02, -7.4390e-02,  4.5232e-02,
         -3.0264e-02,  1.8439e-01,  2.3147e-01, -1.6010e-01,  4.8023e-02,
          7.1794e-02, -3.6127e-02, -1.5437e-01,  1.2092e-01, -1.2362e-01,
         -1.0326e-01, -9.2809e-03,  9.5350e-02,  4.0046e-02,  5.5301e-02,
          1.1971e-01,  7.6102e-02, -3.0893e-02,  1.6544e-02, -1.4607e-01,
          8.9441e-02, -8.2116e-03, -7.8761e-02,  1.6814e-01, -5.6819e-02,
         -3.3263e-02, -1.4031e-01, -1.0438e-01, -5.0856e-02, -1.9470e-02,
          9.3685e-02, -6.6807e-03,  8.0530e-03, -1.9356e-01, -3.5459e-02,
         -2.4174e-02, -1.3844e-01, -2.3357e-01, -8.5842e-02,  1.5958e-01,
          5.2970e-03,  1.2332e-01, -6.4692e-02, -1.7444e-01, -3.3584e-02,
         -9.0271e-02, -1.5712e-03, -4.4132e-02,  1.3807e-01, -9.4449e-02,
         -1.4299e-01, -1.2380e-01, -1.7681e-02, -4.2888e-02, -2.4846e-03,
          7.6565e-02, -5.0067e-02,  1.9938e-02,  9.4207e-02, -1.4952e-01,
          6.1620e-02,  1.6773e-02,  9.8671e-02,  9.5988e-02,  3.7461e-02,
         -1.2293e-01,  1.5563e-02, -2.8138e-02,  1.1365e-01,  4.4231e-03,
          6.0166e-02,  5.1738e-02, -5.3919e-02, -9.8675e-03,  7.0581e-02,
         -5.3478e-03, -9.8477e-02,  3.4584e-02,  1.0082e-01, -4.6956e-02,
          1.8105e-01, -9.2600e-02, -1.5421e-01, -1.7738e-01, -5.4345e-02,
          5.4848e-02,  3.7698e-02,  1.2651e-01, -6.5447e-02, -8.0507e-02,
         -4.8670e-02, -1.2795e-01,  4.8798e-02,  1.1291e-01,  1.2404e-02,
         -1.2949e-01, -2.0025e-02, -9.0774e-03,  1.3299e-01, -6.1998e-02,
         -1.9164e-01,  4.7470e-03, -1.6299e-01,  8.1183e-02,  8.0984e-02,
         -1.2988e-01,  3.6715e-02, -1.4257e-01, -1.1364e-01, -3.5884e-02,
         -6.9371e-02, -3.4783e-02,  5.3792e-02,  1.3837e-01,  1.4425e-02,
         -3.8235e-03, -1.5624e-02,  6.5687e-02, -1.6758e-01,  5.2593e-03,
          2.2885e-02,  1.0039e-01,  3.3603e-32,  6.7283e-03,  6.4929e-02,
         -3.6632e-02,  1.6841e-02, -7.4141e-02,  4.9064e-02,  2.5933e-02,
         -2.2293e-02,  7.5425e-02,  2.0460e-02, -1.1791e-01,  7.0744e-02,
         -1.6357e-01,  1.3259e-01,  2.0630e-01, -8.6895e-02, -9.7752e-02,
          1.1210e-01,  8.5942e-02, -1.1270e-01, -1.1412e-01,  3.4957e-05,
          8.9028e-02,  2.4780e-02,  1.0540e-01,  3.8445e-02, -7.3913e-02,
         -1.5802e-02, -9.7635e-02,  1.8340e-02, -9.6861e-02,  5.2061e-02,
          1.5752e-01, -4.2277e-02, -1.4088e-01,  3.9781e-02, -9.4091e-02,
         -1.9966e-01,  4.5942e-02, -5.2030e-02, -4.8637e-03,  7.8488e-02,
          1.1464e-01,  7.1674e-02,  7.4824e-02, -1.6704e-02, -7.6898e-02,
          2.3432e-01, -8.7479e-03, -1.8245e-02, -6.0628e-02,  1.0301e-01,
         -4.7275e-02, -2.0811e-01,  1.0364e-02,  3.1022e-02, -5.6617e-02,
          3.3427e-02, -3.7507e-04,  1.3875e-01, -8.8597e-02,  6.4821e-02,
          6.3053e-02, -1.4228e-02,  1.3014e-01,  9.4636e-02,  8.6508e-02,
         -5.3248e-02,  6.3323e-02, -1.5534e-01, -2.6609e-01,  1.4565e-01,
         -4.6105e-02, -5.3085e-02, -4.9273e-02,  3.8086e-02,  3.7512e-02,
          9.0468e-03,  1.1827e-02, -1.7742e-01, -1.2091e-01,  9.5288e-02,
          1.5405e-02,  2.9364e-02,  2.3134e-02, -6.0520e-02,  2.5700e-02,
         -9.4913e-03,  1.3744e-01, -1.3682e-01,  6.0887e-02,  1.8768e-03,
         -5.5674e-02, -7.0504e-02, -5.5549e-02, -3.2494e-32,  3.0212e-02,
         -1.0864e-01, -4.0057e-02,  9.5829e-02,  1.4324e-01, -2.6367e-02,
         -8.7226e-02,  7.0694e-02,  8.7924e-02,  2.8960e-02, -8.3372e-02,
          4.8176e-02,  1.6514e-01, -9.9034e-02, -9.1973e-02,  4.1694e-02,
         -2.8060e-02, -1.5644e-01, -5.2800e-02, -1.1983e-01,  2.3674e-02,
          2.7331e-01,  1.2107e-01,  1.5154e-02, -4.4002e-02,  2.9874e-03,
         -1.1636e-01, -1.2205e-01,  1.3905e-01, -7.5087e-02, -4.3935e-02,
         -5.5032e-02, -4.8262e-02,  1.1748e-01, -3.6832e-02, -8.6138e-02,
          9.3106e-02,  2.0797e-02,  1.3122e-01, -1.7750e-01,  1.8553e-01,
         -5.9970e-02, -3.4254e-02,  5.5317e-03, -1.0273e-01, -8.2123e-02,
         -8.6912e-02, -4.3775e-02, -1.1165e-02, -2.9529e-02, -6.6563e-02,
         -1.3702e-02, -7.2766e-02, -1.0076e-02, -4.3451e-03,  1.2949e-02,
          1.2045e-01, -1.8472e-01,  1.4465e-02, -2.0142e-03,  1.9412e-01,
         -1.2491e-02,  4.2656e-02,  2.5320e-02,  5.5942e-02,  6.2578e-03,
          5.5556e-02, -1.4885e-02, -1.3534e-01, -2.5964e-02,  1.4268e-01,
         -3.5346e-03, -4.0110e-02, -1.2331e-01, -1.9619e-02, -1.0282e-01,
         -6.7040e-02, -1.1751e-01, -1.4027e-01,  7.9281e-02,  1.4306e-02,
         -5.5396e-02, -7.3889e-02,  3.4452e-03,  1.7704e-01, -4.8183e-02,
          5.4137e-03, -6.1681e-02, -6.4500e-02, -5.3031e-03, -9.8352e-02,
          4.8058e-02, -6.7843e-02,  2.1744e-01, -2.0410e-02, -1.0238e-07,
          3.3400e-02, -6.1202e-02, -1.8304e-02, -5.4522e-02, -1.8177e-01,
         -9.9989e-02, -7.9053e-02,  9.1661e-02, -2.3549e-03, -1.1616e-01,
         -3.4404e-02,  1.6572e-01,  4.0297e-02, -1.0270e-02,  7.3161e-02,
          8.1580e-02, -8.9127e-02,  1.3864e-01, -1.4972e-01, -2.9081e-01,
         -5.6850e-02, -2.4169e-02, -3.5770e-02,  3.2717e-02,  9.6822e-02,
          3.6296e-02,  9.7921e-02,  1.1068e-02,  5.7251e-02,  2.0369e-01,
          2.9607e-02,  1.7057e-03,  2.2808e-01,  9.2672e-02,  3.6020e-02,
          7.4745e-02,  9.1426e-02,  7.1939e-03, -1.0353e-01,  1.2097e-01,
         -6.2654e-02, -1.3435e-01, -5.1490e-02,  1.4144e-01, -8.5633e-03,
         -5.3324e-02,  6.8227e-02,  7.1146e-02, -9.4985e-02,  8.3757e-02,
          3.8238e-02, -7.6505e-02, -1.5089e-02, -5.4612e-02, -1.1621e-01,
          1.0965e-01,  1.2418e-01, -3.0018e-02,  5.5792e-02,  9.2033e-02,
         -3.7899e-02, -1.3271e-02,  3.7122e-01,  1.4067e-02]])"
A43B1/0063,characteristic features footwear parts characterised material made least partially recycled,"tensor([[-2.8681e-01,  2.3317e-01,  5.1451e-01,  4.1963e-02,  5.7296e-01,
         -1.0284e-01,  1.1442e-01, -1.7901e-01, -4.0014e-01,  2.3497e-01,
         -3.1244e-02,  2.0740e-01,  5.7768e-02,  1.0170e-01, -8.8704e-02,
         -3.5620e-01, -2.4767e-01,  2.2780e-01, -7.7195e-02,  2.6295e-01,
          2.0191e-01, -1.7542e-01,  1.5064e-01,  3.8169e-02,  6.8067e-02,
          2.7624e-01,  5.2865e-02,  1.2879e-01,  4.2183e-01, -2.7703e-01,
          5.5658e-02,  6.7275e-01,  7.2041e-03, -3.6522e-02,  1.2814e-01,
          2.9139e-01,  4.1097e-01, -1.2220e-01, -6.6294e-02,  2.9092e-01,
         -5.0696e-01, -2.2282e-01, -5.0781e-01,  1.6186e-02,  2.4196e-01,
          3.1715e-02,  3.3160e-01, -8.9054e-02, -3.9614e-01,  4.8535e-02,
          3.9284e-01, -5.6964e-03,  3.8034e-02,  8.6290e-03,  7.3920e-02,
         -6.8340e-02,  9.2895e-02, -2.2924e-01, -1.8176e-01, -1.8233e-01,
          5.9653e-01,  8.3585e-02, -2.8378e-01,  2.8075e-03,  2.8661e-01,
         -9.0997e-02, -1.9609e-01, -1.2275e-01, -2.3176e-01,  3.0551e-02,
         -7.2005e-02, -1.9913e-01,  1.2936e-01,  2.1377e-01, -2.2126e-01,
          2.5586e-01,  2.8383e-01, -1.4929e-01, -4.2419e-01,  4.1924e-01,
         -5.2437e-01,  2.1332e-01,  1.2589e-01, -2.7133e-01, -2.9012e-01,
         -2.2308e-01, -1.2047e-01, -1.9389e-01, -2.4150e-01, -1.1589e-01,
         -3.4637e-01,  3.9880e-01,  2.3078e-01, -4.6235e-01,  1.6617e-01,
          2.4114e-01,  1.3406e-01,  3.3766e-01,  5.0977e-01,  7.4823e-02,
         -3.4184e-01,  3.8324e-01,  3.7570e-01, -3.1956e-02, -1.7034e-01,
         -3.9472e-01, -1.8291e-02,  7.6764e-02,  1.4207e-01,  3.5670e-01,
         -6.9307e-02, -2.2866e-01, -1.6921e-01, -4.2672e-02, -3.0331e-01,
         -4.2604e-01, -2.4095e-01,  3.9498e-02,  1.0949e-01,  3.1249e-01,
          3.5388e-02, -4.9840e-03,  4.7568e-01, -1.8438e-01, -2.1384e-01,
         -2.6998e-01,  8.3845e-02,  9.0018e-33, -8.0896e-02,  1.0320e-01,
         -2.8394e-01, -5.4549e-01, -7.2631e-03,  3.0822e-02,  2.8128e-01,
         -3.9534e-02,  3.9126e-02,  2.6193e-01, -5.6524e-02,  2.8034e-01,
         -2.2592e-01,  3.2447e-01, -2.4159e-02,  2.2727e-02, -2.5207e-01,
          1.1749e-01, -4.3180e-01, -5.2048e-01,  4.5515e-02,  3.2911e-01,
          3.5840e-01,  1.5060e-01,  6.9620e-01, -4.3141e-01,  1.3765e-01,
         -1.9083e-01, -2.5316e-01, -4.0439e-02,  5.5330e-01,  3.1770e-01,
          7.3808e-02,  1.4091e-01, -5.0200e-01, -2.5786e-01,  3.9776e-02,
         -8.3104e-02, -9.7113e-02, -1.0286e-01,  2.7023e-01, -1.5710e-01,
          4.1266e-01, -1.5517e-01, -2.8134e-01,  6.4331e-03,  3.4223e-01,
          1.3931e-01, -5.0297e-01, -1.5494e-01,  1.7922e-01,  3.5830e-01,
          2.5894e-01, -3.2260e-01, -2.5409e-01, -2.7662e-01,  1.6583e-03,
         -2.4205e-01, -1.0340e-01,  1.7600e-02, -7.1542e-03,  2.9029e-01,
          1.4554e-01, -4.6576e-01,  7.9677e-02, -2.0931e-01,  6.1493e-02,
          3.9909e-01,  2.4484e-02, -8.4848e-02, -1.2776e-01, -1.9705e-01,
         -6.5054e-02,  1.2403e-01,  1.8425e-02, -3.9140e-04,  5.1470e-02,
         -1.0389e-01, -2.4683e-01, -2.7189e-01, -6.7680e-01, -7.3304e-02,
         -2.0525e-01, -1.7960e-01,  7.7859e-02, -1.0311e-01,  3.7884e-01,
         -1.5350e-01,  1.7515e-01, -1.1887e-01, -8.6527e-02, -1.1954e-02,
         -2.8512e-01, -1.4551e-01,  3.9556e-02, -1.7965e-32,  2.3404e-01,
          1.3252e-01, -7.2942e-02,  3.3690e-02, -2.4396e-01, -2.4172e-01,
         -4.5730e-01,  5.1140e-02, -5.8462e-02,  1.9889e-01,  1.2931e-01,
          2.1393e-02,  7.6807e-02, -9.7215e-02, -1.0085e-01,  5.9003e-01,
         -1.8203e-01,  3.9515e-02, -4.4239e-03, -8.8798e-02,  3.1236e-01,
          5.1718e-02, -1.0618e-01, -4.5813e-01, -5.5531e-01, -6.9435e-02,
         -6.2082e-02, -1.7401e-01,  2.2028e-02, -5.5591e-02,  3.5471e-01,
         -4.3945e-01, -1.5951e-01,  1.7478e-01, -6.7309e-02, -2.5032e-01,
         -8.2699e-01,  2.1901e-02,  5.7670e-01, -4.0843e-02,  3.1433e-01,
         -2.5433e-01,  2.3739e-02,  3.1043e-01, -3.0174e-02, -7.3073e-01,
         -3.7975e-01, -9.2881e-02,  3.4652e-01, -1.4446e-01,  5.6866e-01,
          2.9278e-01,  7.8678e-02, -6.6241e-02,  3.7964e-02,  4.2075e-01,
         -2.5926e-01, -6.2049e-02,  7.2143e-02,  3.9989e-01,  2.6958e-01,
          3.0439e-01,  1.1229e-01, -9.7999e-02,  3.9315e-01, -9.4446e-02,
          5.5153e-02,  2.3877e-02, -2.1841e-01, -1.0324e-01,  1.0137e-01,
          2.5057e-01,  2.1138e-01,  2.2647e-01,  1.9457e-01,  2.0053e-02,
         -6.9904e-02,  1.4999e-01,  7.2739e-02, -1.6755e-02, -4.1062e-02,
         -4.4562e-01, -1.0287e-01, -1.0365e-02,  1.0826e-01,  2.5216e-01,
         -4.6954e-01, -1.1569e-02,  2.1562e-01, -8.5578e-02,  2.0820e-01,
          5.2299e-01,  4.0334e-02,  6.5132e-01,  2.6631e-01, -9.7190e-08,
          8.3998e-02, -8.6298e-03,  9.0901e-02,  1.5934e-01, -5.4651e-02,
         -6.8846e-02, -1.2360e-01,  1.9786e-01,  1.8631e-01, -6.7466e-02,
         -6.4534e-02, -2.5315e-01, -1.7150e-01,  2.3347e-01,  8.6706e-02,
          1.0467e-01, -1.6436e-01,  1.7313e-01, -2.5804e-01, -1.8242e-01,
         -1.3022e-01, -1.7066e-01,  5.8905e-02,  5.2923e-01, -2.8291e-01,
         -1.8179e-01,  1.6057e-02, -6.4954e-02, -2.5084e-02,  4.7465e-01,
          3.8732e-01,  2.7135e-01,  9.5526e-02, -9.0281e-02,  3.4915e-02,
          9.3999e-02,  2.7427e-01, -3.8870e-01, -2.3074e-01, -9.0819e-02,
          1.0374e-02, -4.7180e-01, -2.7523e-01,  7.0747e-02,  4.1088e-02,
         -3.9748e-01, -3.1289e-01, -4.1857e-03, -3.2218e-01,  1.4819e-01,
          2.8990e-02,  8.4091e-02, -8.8844e-02,  2.9958e-01,  5.6607e-02,
          3.7291e-02,  8.0100e-03,  3.1129e-01,  2.2201e-01, -6.5205e-02,
          1.7866e-01, -4.0113e-01,  3.0392e-01, -1.8492e-01]])"
