Class,Description
A01B71/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing soil working in or parts details accessories of agricultural machines implements general making covering furrows holes sowing planting manuring engineering purposes measuring areas construction arrangement setting adjusting mechanisms implement tool drive power takeoff means protecting dust like adapting machine elements
A01B73/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing soil working in or parts details accessories of agricultural machines implements general making covering furrows holes sowing planting manuring engineering purposes measuring areas means arrangements facilitate transportation eg folding frames reduce overall width lifting devices carriers harvesters mowers haymakers vehicles adapted load transport carry comprise special loads objects motor trailers
A01B75/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing soil working in or parts details accessories of agricultural machines implements general making covering furrows holes sowing planting manuring engineering purposes measuring areas carriers supporting persons field eg thinning beet
A01B76/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing soil working in or parts details accessories of agricultural machines implements general making covering furrows holes sowing planting manuring engineering purposes measuring areas provided groups â
A01B77/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing soil working in or parts details accessories of agricultural machines implements general making covering furrows holes sowing planting manuring engineering purposes measuring areas lifting treating biocides pest repellants attractants plant growth regulators â fertilisers soilconditioning soilstabilising materials
A01B79/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing soil working in or parts details accessories of agricultural machines implements general making covering furrows holes sowing planting manuring engineering purposes measuring areas methods essentially requiring use particular see relevant groups
A01C1/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing planting sowing fertilising parts details accessories agricultural machines implements general â apparatus methods use thereof testing treating seed roots like prior
A01C3/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing planting sowing fertilising parts details accessories agricultural machines implements general â treating manure manuring
A01C5/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing planting sowing fertilising parts details accessories agricultural machines implements general â making covering furrows holes manuring ploughs ridges
A01C7/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing planting sowing fertilising parts details accessories agricultural machines implements general â
A01C9/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing planting sowing fertilising parts details accessories agricultural machines implements general â potato planters
