Class,Description
A47B96/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general tables desks office cabinets drawers details of jointing racks shelf units covered single one groups â doors
A47B97/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general tables desks office cabinets drawers details of jointing accessories provided groups subclass
A47B2200/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general tables desks office cabinets drawers details of jointing construction
A47B2210/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general tables desks office cabinets drawers details of jointing construction guides guide devices
A47B2220/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general tables desks office cabinets drawers details of jointing construction eg fittings
A47B2230/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general tables desks office cabinets drawers details of jointing
A47C1/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general chairs seats specially adapted vehicles sofas beds upholstery special purposes features relating vertical adjustability convertible personal conveyances patients disabled persons operating dental
A47C3/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general chairs seats specially adapted vehicles sofas beds upholstery characterised structural features stools rotatable verticallyadjustable take precedence
A47C4/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general chairs seats specially adapted vehicles sofas beds upholstery foldable collapsible dismountable tubular metal type children 's
A47C5/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general chairs seats specially adapted vehicles sofas beds upholstery special materials
A47C7/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general chairs seats specially adapted vehicles sofas beds upholstery parts details accessories stools attaching floor
A47C9/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general chairs seats specially adapted vehicles sofas beds upholstery stools specified purposes rotatable vertically adjustable footstools prayer platforms seatboxes angling seating
A47C11/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general chairs seats specially adapted vehicles sofas beds upholstery benches otherwise provided school forms
A47C12/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general chairs seats specially adapted vehicles sofas beds upholstery stepstools
A47C13/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general chairs seats specially adapted vehicles sofas beds upholstery convertible stools benches stepstools requiring conversion step seat functions
A47C15/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general chairs seats specially adapted vehicles sofas beds upholstery other seating school forms
A47C16/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general chairs seats specially adapted vehicles sofas beds upholstery standalone rests supports feet legs arms back head associated
A47C17/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general chairs seats specially adapted vehicles sofas beds upholstery couches bedsteads spring mattresses divan bases stuffed special provisions nursing
A47C19/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general chairs seats specially adapted vehicles sofas beds upholstery bedsteads spring mattresses rigid frame forming part bedstead bed jointing members fittings
A47C20/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general chairs seats specially adapted vehicles sofas beds upholstery head foot like rests book bed tables bedrests nursing
A47C21/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general chairs seats specially adapted vehicles sofas beds upholstery attachments eg sheet holders bedcover bed tables supported bedstead children 's ventilating cooling heating means connection bedsteads mattresses
A47C23/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general chairs seats specially adapted vehicles sofas beds upholstery spring mattresses rigid frame forming part bedstead eg box springs divan bases slatted bed
A47C27/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general chairs seats specially adapted vehicles sofas beds upholstery spring stuffed fluid mattresses cushions
A47C29/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general chairs seats specially adapted vehicles sofas beds upholstery nets protection insects connection insect animals travelling equipment bed canopies
A47C31/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general chairs seats specially adapted vehicles sofas beds upholstery details accessories like provided groups subclass eg fasteners mattress protectors stretching devices nets
A47D1/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general specially adapted for children school benches desks 's chairs generallyâ vehicle seats childrenâ
A47D3/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general specially adapted for children school benches desks 's tables forms
A47D5/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general specially adapted for children school benches desks dressingtables diaper changing supports chests drawers
A47D7/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general specially adapted for children school benches desks 's beds
A47D9/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general specially adapted for children school benches desks cradles bassinets
A47D11/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general specially adapted for children school benches desks 's convertible kinds eg chairs beds constructional playfurniture
A47D13/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general specially adapted for children school benches desks other nursery auxiliary portable toilet seats
A47D15/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general specially adapted for children school benches desks accessories 's eg safety belts holders baby bottles medicinal feeding body harnesses infant exercisers attachable playpens beds cradles land vehicles harnessing aircraft
A47F1/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general special fittings accessories for shops storehouses bars restaurants the like paying counters racks dispensing merchandise storing means workshops containers show display aspects workshop liquids coinfreed dispensers
A47F3/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general special fittings accessories for shops storehouses bars restaurants the like paying counters show cases cabinets
A47F5/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general special fittings accessories for shops storehouses bars restaurants the like paying counters show stands hangers shelves characterised constructional features
A47F7/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general special fittings accessories for shops storehouses bars restaurants the like paying counters show stands hangers shelves adapted particular materials takes precedence
A47F8/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general special fittings accessories for shops storehouses bars restaurants the like paying counters dummies busts eg displaying garments tailors ' artificial limbs dolls
A47F9/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general special fittings accessories for shops storehouses bars restaurants the like paying counters shop bar bank show cases cabinets safety transaction partitions eg movable pay plates
A47F10/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general special fittings accessories for shops storehouses bars restaurants the like paying counters installations specially adapted particular types service systems otherwise provided conveyor aspects building coinfreed apparatus
A47F11/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general special fittings accessories for shops storehouses bars restaurants the like paying counters arrangements shop windows floors show cases
A47F13/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general special fittings accessories for shops storehouses bars restaurants the like paying counters shop devices drawingoff cutting paper roll movablymounted ladders
A47G1/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general household table equipment bookends knives mirrors optical elements picture frames like eg provided heating lighting ventilating means
A47G3/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general household table equipment bookends knives removable ornamental heads nails screws like speciallyshaped nonremovable
A47G5/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general household table equipment bookends knives screens shutters closing opening flyscreens draughtdeflectors
A47G7/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general household table equipment bookends knives flower holders like
A47G9/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general household table equipment bookends knives bedcovers counterpanes travelling rugs sleeping bags pillows loose filling materials bedding
A47G11/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general household table equipment bookends knives linen picnic blankets placemats
A47G19/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general household table equipment bookends knives service
A47G21/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general household table equipment bookends knives tableware crumb trays
A47G23/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general household table equipment bookends knives other
A47G25/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general household table equipment bookends knives implements used connection wearing apparel dress hat umbrella holders wardrobes
A47G27/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general household table equipment bookends knives floor fabrics fastenings therefor woven nonwoven covering textile basis
A47G29/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general household table equipment bookends knives supports holders containers use provided groupsâ orâ fastening kitchen utensilsâ drying towelsâ stands racks like airing beds garments clothes devicesâ
A47G33/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general household table equipment bookends knives religious ritual dwelling use
A47G35/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general household table equipment bookends knives other dwelling
A47G2200/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general household table equipment bookends knives details otherwise provided
A47H1/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general furnishings for windows doors concerned functioning door window roller blinds curtain suspension devices
A47H2/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general furnishings for windows doors concerned functioning door window roller blinds pelmets like
A47H3/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general furnishings for windows doors concerned functioning door window roller blinds fastening clamping guiding devices bands cords curtains like
A47H5/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general furnishings for windows doors concerned functioning door window roller blinds devices drawing draperies curtains like
A47H7/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general furnishings for windows doors concerned functioning door window roller blinds devices puttingup removing curtain rods
A47H11/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general furnishings for windows doors concerned functioning door window roller blinds curtain cord appurtenances
A47H13/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general furnishings for windows doors concerned functioning door window roller blinds fastening curtains curtain rods rails
A47H15/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general furnishings for windows doors concerned functioning door window roller blinds runners gliders supporting curtains rails rods
A47H19/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general furnishings for windows doors concerned functioning door window roller blinds rosettes holding curtains festoon holders
A47H21/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general furnishings for windows doors concerned functioning door window roller blinds curtain shields
A47H23/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general furnishings for windows doors concerned functioning door window roller blinds curtains draperies shower curtain arrangements
A47H27/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general furnishings for windows doors concerned functioning door window roller blinds boxes shelves holders similar supports holding flowers adapted carry plants
A47H99/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general furnishings for windows doors concerned functioning door window roller blinds subject matter provided groups subclass
A47H2201/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general furnishings for windows doors concerned functioning door window roller blinds means connecting curtains
A47J9/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general kitchen equipment apparatus for making beverages utensils shaping dispensing portions butter like use dairies moulding plastic material
A47J17/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general kitchen equipment apparatus for making beverages household peeling stringing paring implements machines foodstuffs bulk
A47J19/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general kitchen equipment apparatus for making beverages household machines straining foodstuffs implements mashing bulk
A47J21/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general kitchen equipment apparatus for making beverages devices removing stalks fruit machines
A47J23/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general kitchen equipment apparatus for making beverages devices stoning fruit machines bulk
A47J25/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general kitchen equipment apparatus for making beverages devices coring fruit machines bulk
A47J27/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general kitchen equipment apparatus for making beverages cookingvessels take precedence
A47J29/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general kitchen equipment apparatus for making beverages eggcookers
A47J31/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general kitchen equipment apparatus for making beverages household machines implements straining foodstuffs preparation nonalcoholic eg adding ingredients fruit vegetable juices tea pots infusers brewing beer wine alcoholic
A47J33/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general kitchen equipment apparatus for making beverages camp cooking devices without integral heating means travelling cookers one burner heated petroleum gasoline spirit like
A47J36/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general kitchen equipment apparatus for making beverages parts details accessories cookingvessels take precedence insofar restricted particular kind cookingvessel provided single one groups
A47J37/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general kitchen equipment apparatus for making beverages baking roasting grilling frying bakers ' ovens nondomestic stoves ranges
A47J39/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general kitchen equipment apparatus for making beverages heatinsulated warming chambers cupboards heating arrangements utensils
A47J41/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general kitchen equipment apparatus for making beverages thermallyinsulated vessels eg flasks jugs jars containers thermal insulation
A47J42/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general kitchen equipment apparatus for making beverages part universal multipurpose machines grinding pulverising
A47J43/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general kitchen equipment apparatus for making beverages implements preparing holding food provided groups subclass
A47J44/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general kitchen equipment apparatus for making beverages multipurpose machines preparing food several driving units
A47J45/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general kitchen equipment apparatus for making beverages devices fastening gripping utensils crockery cabinets provisions attachment implements
A47J47/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general kitchen equipment apparatus for making beverages miscellaneous containers stands like bowls food processors cuttingboards eg bread slicing devices
A47J2201/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general kitchen equipment apparatus for making beverages devices modular construction
A47J2202/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general kitchen equipment apparatus for making beverages devices temperature indicating means
A47J2203/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general kitchen equipment apparatus for making beverages devices filling level indicating means
A47K1/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general sanitary equipment not otherwise provided for connecting water supply waste pipe sinks waterclosets toilet accessories cosmetic washstands appurtenances therefor devices washing hair scalp basins used manual cleaning crockery tableware cookingware like curative purposes
A47K3/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general sanitary equipment not otherwise provided for connecting water supply waste pipe sinks waterclosets toilet accessories cosmetic baths douches appurtenances therefor curative purposes eg bathing devices special therapeutic hygienic spray heads suspending supporting hose shower bath heated tubs
A47K4/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general sanitary equipment not otherwise provided for connecting water supply waste pipe sinks waterclosets toilet accessories cosmetic combinations baths douches washbasins closets urinals covered single group subclass connected
A47K5/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general sanitary equipment not otherwise provided for connecting water supply waste pipe sinks waterclosets toilet accessories cosmetic holders dispensers soap toothpaste like specially adapted shaving cosmetics â
A47K7/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general sanitary equipment not otherwise provided for connecting water supply waste pipe sinks waterclosets toilet accessories cosmetic body washing cleaning implements bathing devices special therapeutic hygienic purposes baths specific parts
A47K10/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general sanitary equipment not otherwise provided for connecting water supply waste pipe sinks waterclosets toilet accessories cosmetic bodydrying implements paper holders therefor
A47K11/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general sanitary equipment not otherwise provided for connecting water supply waste pipe sinks waterclosets toilet accessories cosmetic closets without flushing recirculation bowlcleaning fluid urinals vehicles railwaycars ships aircraft arrangements chamber pots chairs conveniences specially adapted use toilets
A47K13/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general sanitary equipment not otherwise provided for connecting water supply waste pipe sinks waterclosets toilet accessories cosmetic seats covers kinds closets dog cat toilets adapted fit conventional
A47K17/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general sanitary equipment not otherwise provided for connecting water supply waste pipe sinks waterclosets toilet accessories cosmetic other eg separate apparatus deodorising disinfecting cleaning devices without flushing bowls seats covers holders brushes portable urinating aids receiving spittle medical surgical hygienic purposes emptying chamberpots bed pans urinals like
A47K2201/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general sanitary equipment not otherwise provided for connecting water supply waste pipe sinks waterclosets toilet accessories cosmetic details connections bathroom eg fixing soap towel holder wall
A47K2210/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general sanitary equipment not otherwise provided for connecting water supply waste pipe sinks waterclosets toilet accessories cosmetic combinations taps soap dispensers hand dryers
A47L1/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general washing cleaning brushes quantities bottles hollow one kind laundry windows
A47L3/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general washing cleaning brushes quantities bottles hollow one kind laundry safety devices use windowcleaning belts scaffolding ladders
A47L4/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general washing cleaning brushes quantities bottles hollow one kind laundry window shades screens venetian blinds takes precedence cleaner nozzles
A47L5/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general washing cleaning brushes quantities bottles hollow one kind laundry structural features
A47L7/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general washing cleaning brushes quantities bottles hollow one kind laundry adapted additional purposes devices removing ash tables openings containers takingup liquids
A47L9/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general washing cleaning brushes quantities bottles hollow one kind laundry details accessories eg mechanical means controlling effecting pulsating action storing devices specially adapted parts thereof carryingvehicles
A47L11/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general washing cleaning brushes quantities bottles hollow one kind laundry machines floors carpets walls wall coverings
A47L13/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general washing cleaning brushes quantities bottles hollow one kind laundry implements floors carpets walls wall coverings handles fastenings scrapers finishing work buildings
A47L15/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general washing cleaning brushes quantities bottles hollow one kind laundry rinsing machines crockery tableware
A47L17/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general washing cleaning brushes quantities bottles hollow one kind laundry apparatus implements used manual crockery tableware cookingware like foammaking devices
A47L19/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general washing cleaning brushes quantities bottles hollow one kind laundry drying devices crockery tableware eg teacloths
A47L21/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general washing cleaning brushes quantities bottles hollow one kind laundry polishing tableware eg knives forks spoons
A47L23/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general washing cleaning brushes quantities bottles hollow one kind laundry footwear
A47L25/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general washing cleaning brushes quantities bottles hollow one kind laundry devices provided groups subclassâ spectaclesâ
A47L2201/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general washing cleaning brushes quantities bottles hollow one kind laundry robotic machines ie automatic control travelling movement operation
A47L2301/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general washing cleaning brushes quantities bottles hollow one kind laundry manual input controlling methods rinsing machines crockery tableware ie information entered user
A47L2401/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general washing cleaning brushes quantities bottles hollow one kind laundry automatic detection controlling methods rinsing machines crockery tableware eg information provided sensors entered devices
A47L2501/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general washing cleaning brushes quantities bottles hollow one kind laundry output controlling method rinsing machines crockery tableware ie components controlled actions performed device executing
A47L2601/00,furniture  domestic articles or appliances coffee mills spice suction cleaners in general washing cleaning brushes quantities bottles hollow one kind laundry methods characterised use particular treatment
A61B1/00,medical or veterinary science  hygiene diagnosis surgery identification analysing biological material eg obtaining records using waves optical general instruments performing examinations interior cavities tubes body visual photographical inspection endoscopes examination tracts ultrasonic sonic infrasonic endoscopic taking cell samples biopsy surgical purposes cutting laser beam directed along flexible conduit illuminating arrangements therefor eyes
A61B3/00,medical or veterinary science  hygiene diagnosis surgery identification analysing biological material eg obtaining records using waves optical general apparatus testing eyes instruments examining eye inspection ultrasonic sonic infrasonic devices treatment exercisers systems
A61B5/00,medical or veterinary science  hygiene diagnosis surgery identification analysing biological material eg obtaining records using waves optical general measuring diagnostic purposes radiation ultrasonic sonic infrasonic persons
A61B6/00,medical or veterinary science  hygiene diagnosis surgery identification analysing biological material eg obtaining records using waves optical general apparatus radiation combined therapy equipment instruments measuring intensity application field nuclear medicine vivo counting taking xray photographs
A61B7/00,medical or veterinary science  hygiene diagnosis surgery identification analysing biological material eg obtaining records using waves optical general instruments auscultation
A61B8/00,medical or veterinary science  hygiene diagnosis surgery identification analysing biological material eg obtaining records using waves optical general ultrasonic sonic infrasonic imaging objects sonar
A61B9/00,medical or veterinary science  hygiene diagnosis surgery identification analysing biological material eg obtaining records using waves optical general instruments examination percussion pleximeters
A61B10/00,medical or veterinary science  hygiene diagnosis surgery identification analysing biological material eg obtaining records using waves optical general other methods instruments taking cell sample biopsy vaccination prophylaxis therapy sex determination ovulationperiod menstruation tables throat striking implements
A61B13/00,medical or veterinary science  hygiene diagnosis surgery identification analysing biological material eg obtaining records using waves optical general instruments depressing tongue combined illuminating viewing
A61B16/00,medical or veterinary science  hygiene diagnosis surgery identification analysing biological material eg obtaining records using waves optical general devices specially adapted vivisection autopsy similar purposes see relevant groups tables
A61B17/00,medical or veterinary science  hygiene diagnosis surgery identification analysing biological material eg obtaining records using waves optical general surgical instruments devices methods tourniquets takes precedence contraceptive pessaries applicators therefor eye ear
A61B18/00,medical or veterinary science  hygiene diagnosis surgery identification analysing biological material eg obtaining records using waves optical general surgical instruments devices methods transferring nonmechanical forms energy body eye ear
A61B34/00,medical or veterinary science  hygiene diagnosis surgery identification analysing biological material eg obtaining records using waves optical general computeraided manipulators robots specially adapted use
A61B42/00,medical or veterinary science  hygiene diagnosis surgery identification analysing biological material eg obtaining records using waves optical general surgical gloves fingerstalls specially adapted devices handling treatment thereof
A61B46/00,medical or veterinary science  hygiene diagnosis surgery identification analysing biological material eg obtaining records using waves optical general surgical drapes
A61B50/00,medical or veterinary science  hygiene diagnosis surgery identification analysing biological material eg obtaining records using waves optical general containers covers furniture holders specially adapted surgical diagnostic appliances instruments sterile drapes
A61B90/00,medical or veterinary science  hygiene diagnosis surgery identification analysing biological material eg obtaining records using waves optical general instruments implements accessories specially adapted covered groups luxation treatment protecting wound edges protective face masks surgeon 's patient gowns dresses devices carryingoff carryingover body liquids
A61B2217/00,medical or veterinary science  hygiene diagnosis surgery identification analysing biological material eg obtaining records using waves optical general characteristics surgical instruments
A61B2218/00,medical or veterinary science  hygiene diagnosis surgery identification analysing biological material eg obtaining records using waves optical general details surgical instruments devices methods transferring nonmechanical forms energy body
A61B2503/00,medical or veterinary science  hygiene diagnosis surgery identification analysing biological material eg obtaining records using waves optical general evaluating particular growth phase type persons animals
A61B2505/00,medical or veterinary science  hygiene diagnosis surgery identification analysing biological material eg obtaining records using waves optical general evaluating monitoring diagnosing context particular type care
A61B2560/00,medical or veterinary science  hygiene diagnosis surgery identification analysing biological material eg obtaining records using waves optical general constructional details operational features apparatus accessories measuring
A61B2562/00,medical or veterinary science  hygiene diagnosis surgery identification analysing biological material eg obtaining records using waves optical general details sensors constructional sensor housings probes accessories
A61B2576/00,medical or veterinary science  hygiene diagnosis surgery identification analysing biological material eg obtaining records using waves optical general imaging apparatus involving image processing analysis take precedence per se details algorithms images
A61C1/00,medical or veterinary science  hygiene dentistry apparatus methods for oral dental nondriven toothbrushes tongue scrapers preparations cleaning teeth mouth machines boring cutting general features eg handpiece design
A61C3/00,medical or veterinary science  hygiene dentistry apparatus methods for oral dental nondriven toothbrushes tongue scrapers preparations cleaning teeth mouth tools instruments implanting fastening artificial visual inspection devices eg mirrors
A61C5/00,medical or veterinary science  hygiene dentistry apparatus methods for oral dental nondriven toothbrushes tongue scrapers preparations cleaning teeth mouth filling capping
A61C7/00,medical or veterinary science  hygiene dentistry apparatus methods for oral dental nondriven toothbrushes tongue scrapers preparations cleaning teeth mouth orthodontics ie obtaining maintaining desired position eg straightening evening regulating separating correcting malocclusions
A61C8/00,medical or veterinary science  hygiene dentistry apparatus methods for oral dental nondriven toothbrushes tongue scrapers preparations cleaning teeth mouth means fixed jawbone consolidating natural fixing prostheses thereon implants implanting tools fastening pegteeth
A61C9/00,medical or veterinary science  hygiene dentistry apparatus methods for oral dental nondriven toothbrushes tongue scrapers preparations cleaning teeth mouth impression cups ie trays computerassisted sizing instruments determining occlusion
A61C11/00,medical or veterinary science  hygiene dentistry apparatus methods for oral dental nondriven toothbrushes tongue scrapers preparations cleaning teeth mouth articulators ie simulating movement temporomandibular joints articulation forms mouldings
A61C13/00,medical or veterinary science  hygiene dentistry apparatus methods for oral dental nondriven toothbrushes tongue scrapers preparations cleaning teeth mouth prostheses making tooth crowns capping implants
A61C15/00,medical or veterinary science  hygiene dentistry apparatus methods for oral dental nondriven toothbrushes tongue scrapers preparations cleaning teeth mouth devices
A61C17/00,medical or veterinary science  hygiene dentistry apparatus methods for oral dental nondriven toothbrushes tongue scrapers preparations cleaning teeth mouth devices polishing rinsing drying cavities prostheses instruments acting like sandblast machine tooth discs holders therefor saliva removers appliances receiving spittle
A61C19/00,medical or veterinary science  hygiene dentistry apparatus methods for oral dental nondriven toothbrushes tongue scrapers preparations cleaning teeth mouth auxiliary appliances chairs accessories therefor working stands whether combined
A61C2201/00,medical or veterinary science  hygiene dentistry apparatus methods for oral dental nondriven toothbrushes tongue scrapers preparations cleaning teeth mouth material properties
A61C2202/00,medical or veterinary science  hygiene dentistry apparatus methods for oral dental nondriven toothbrushes tongue scrapers preparations cleaning teeth mouth packaging appliances
A61C2203/00,medical or veterinary science  hygiene dentistry apparatus methods for oral dental nondriven toothbrushes tongue scrapers preparations cleaning teeth mouth means making patients feel ease treatment eg instruments form toys
A61C2204/00,medical or veterinary science  hygiene dentistry apparatus methods for oral dental nondriven toothbrushes tongue scrapers preparations cleaning teeth mouth features otherwise provided
A61D1/00,medical or veterinary science  hygiene instruments implements tools methods surgical use
A61D3/00,medical or veterinary science  hygiene instruments implements tools methods appliances supporting fettering animals operative purposes slaughter houses
A61D5/00,medical or veterinary science  hygiene instruments implements tools methods treating animals ' teeth
A61D7/00,medical or veterinary science  hygiene instruments implements tools methods devices introducing solid liquid gaseous remedies materials onto bodies animals reproduction fertilisation implanting pellets radon seeds like
A61D9/00,medical or veterinary science  hygiene instruments implements tools methods bandages poultices compresses specially adapted purposes fetlockjoint protecting rings
A61D11/00,medical or veterinary science  hygiene instruments implements tools methods washing devices gaseous curative baths specially adapted purposes milking machine accessories treatment udders teats
A61D13/00,medical or veterinary science  hygiene instruments implements tools methods thermometer holders specially adapted purposes
A61D15/00,medical or veterinary science  hygiene instruments implements tools methods mouth openers devices prevent cribbiting
A61D17/00,medical or veterinary science  hygiene instruments implements tools methods devices indicating trouble labour animals detecting pregnancyrelated states monitoring measuring activity
A61D19/00,medical or veterinary science  hygiene instruments implements tools methods reproduction fertilisation
A61D99/00,medical or veterinary science  hygiene instruments implements tools methods subject matter provided groups subclass
A61F2/00,medical or veterinary science  hygiene filters implantable into blood vessels prostheses devices providing patency to preventing collapsing of tubular structures the body eg stents orthopaedic nursing contraceptive fomentation treatment protection eyes ears bandages dressings absorbent pads firstaid kits dental prosthetics ie artificial substitutes replacements parts appliances connecting cosmetic articles see relevant subclasses wigs hair pieces nails materials hearts kidneys
A61F3/00,medical or veterinary science  hygiene filters implantable into blood vessels prostheses devices providing patency to preventing collapsing of tubular structures the body eg stents orthopaedic nursing contraceptive fomentation treatment protection eyes ears bandages dressings absorbent pads firstaid kits dental prosthetics lengthening pieces natural legs
A61F4/00,medical or veterinary science  hygiene filters implantable into blood vessels prostheses devices providing patency to preventing collapsing of tubular structures the body eg stents orthopaedic nursing contraceptive fomentation treatment protection eyes ears bandages dressings absorbent pads firstaid kits dental prosthetics methods enabling patients disabled persons operate apparatus device forming part bodyâ operating control means
A61F5/00,medical or veterinary science  hygiene filters implantable into blood vessels prostheses devices providing patency to preventing collapsing of tubular structures the body eg stents orthopaedic nursing contraceptive fomentation treatment protection eyes ears bandages dressings absorbent pads firstaid kits dental prosthetics methods nonsurgical bones joints surgical instruments specially adapted therefor antirape
